,Concept,Occurence,Frequency,Mean,Median,Sdev
230,milky way core,[57],1,0.1165644171779141,0.1165644171779141,0.0
231,side,[57],1,0.1165644171779141,0.1165644171779141,0.0
232,same direction,[58],1,0.11860940695296524,0.11860940695296524,0.0
233,corresponding increase,[58],1,0.11860940695296524,0.11860940695296524,0.0
234,study,[ 58 302],2,0.36809815950920244,0.36809815950920244,0.24948875255623723
235,southern hemisphere,[58],1,0.11860940695296524,0.11860940695296524,0.0
236,son john herschel,[58],1,0.11860940695296524,0.11860940695296524,0.0
237,other accomplishment,[59],1,0.12065439672801637,0.12065439672801637,0.0
238,addition,[ 59 409 446],3,0.6230402181322428,0.83640081799591,0.3565809107849869
239,also physical companion,[59],1,0.12065439672801637,0.12065439672801637,0.0
240,same line,[59],1,0.12065439672801637,0.12065439672801637,0.0
241,binary star system,[ 59  71 121 144 427],5,0.3361963190184049,0.2474437627811861,0.2760224143984738
242,science,[60],1,0.12269938650306748,0.12269938650306748,0.0
243,stellar spectroscopy,[60],1,0.12269938650306748,0.12269938650306748,0.0
244,joseph von fraunhofer,[60],1,0.12269938650306748,0.12269938650306748,0.0
245,angelo secchi,[60],1,0.12269938650306748,0.12269938650306748,0.0
246,strength,[ 61 177 291 399],4,0.47443762781186094,0.4785276073619632,0.2579363689199966
247,sirius,[ 61 388 390 391],4,0.6288343558282209,0.7955010224948875,0.2910448673451986
248,specific frequency,[61],1,0.12474437627811862,0.12474437627811862,0.0
249,difference,[ 61 381],2,0.45194274028629855,0.45194274028629855,0.32719836400818
250,absorption dark line,[61],1,0.12474437627811862,0.12474437627811862,0.0
251,atmosphere,[ 61 179 268 367 403 464],6,0.5937286980231765,0.6492842535787321,0.2821534248235888
252,absorption,[61],1,0.12474437627811862,0.12474437627811862,0.0
253,stellar spectrum,[ 61 350],2,0.42024539877300615,0.42024539877300615,0.2955010224948875
254,secchi,[62],1,0.12678936605316973,0.12678936605316973,0.0
255,spectral type,[ 62 405 411 413 414],5,0.6973415132924335,0.8404907975460123,0.2853475293669796
256,stellar classification scheme,[63],1,0.12883435582822086,0.12883435582822086,0.0
257,modern version,[63],1,0.12883435582822086,0.12883435582822086,0.0
258,annie j,[63],1,0.12883435582822086,0.12883435582822086,0.0
259,cannon,[64],1,0.130879345603272,0.130879345603272,0.0
260,direct measurement,[65],1,0.1329243353783231,0.1329243353783231,0.0
261,distance,[ 65  91 281 351 353 367 368 382 392 465],10,0.6370143149284253,0.7361963190184049,0.2545010109842097
262,cygni,[65],1,0.1329243353783231,0.1329243353783231,0.0
263,light-year,[ 66  95 241 369 392],5,0.4756646216768916,0.49284253578732107,0.2755401951079202
264,parallax technique,[66],1,0.13496932515337423,0.13496932515337423,0.0
265,friedrich bessel,[66 69],2,0.13803680981595093,0.13803680981595093,0.003067484662576687
266,parallax measurement,[ 67 283],2,0.35787321063394684,0.35787321063394684,0.22085889570552147
267,vast separation,[67],1,0.13701431492842536,0.13701431492842536,0.0
268,importance,[68],1,0.1390593047034765,0.1390593047034765,0.0
269,19th century,[68],1,0.1390593047034765,0.1390593047034765,0.0
270,double star,[68],1,0.1390593047034765,0.1390593047034765,0.0
271,star sirius,[69],1,0.1411042944785276,0.1411042944785276,0.0
272,hidden companion,[69],1,0.1411042944785276,0.1411042944785276,0.0
273,104-day period,[70],1,0.14314928425357873,0.14314928425357873,0.0
274,edward pickering,[70],1,0.14314928425357873,0.14314928425357873,0.0
275,spectral line,[ 70 279 409],3,0.5167007498295841,0.5705521472392638,0.2855689082180284
276,periodic splitting,[70],1,0.14314928425357873,0.14314928425357873,0.0
277,star mizar,[70],1,0.14314928425357873,0.14314928425357873,0.0
278,first spectroscopic binary,[70],1,0.14314928425357873,0.14314928425357873,0.0
279,s,[71],1,0.14519427402862986,0.14519427402862986,0.0
280,detailed observation,[71],1,0.14519427402862986,0.14519427402862986,0.0
281,friedrich georg wilhelm von struve,[71],1,0.14519427402862986,0.14519427402862986,0.0
282,w,[72],1,0.147239263803681,0.147239263803681,0.0
283,computation,[73],1,0.1492842535787321,0.1492842535787321,0.0
284,orbital element,[73],1,0.1492842535787321,0.1492842535787321,0.0
285,burnham,[73],1,0.1492842535787321,0.1492842535787321,0.0
286,felix savary,[74],1,0.15132924335378323,0.15132924335378323,0.0
287,telescope observation,[74],1,0.15132924335378323,0.15132924335378323,0.0
288,first solution,[74],1,0.15132924335378323,0.15132924335378323,0.0
289,problem,[74],1,0.15132924335378323,0.15132924335378323,0.0
290,binary star,[ 74 222 230 231],4,0.38701431492842536,0.4621676891615542,0.13625967286669535
291,scientific study,[75],1,0.15337423312883436,0.15337423312883436,0.0
292,increasingly rapid advance,[75],1,0.15337423312883436,0.15337423312883436,0.0
293,twentieth century,[75 81],2,0.15950920245398773,0.15950920245398773,0.006134969325153374
294,photograph,[76],1,0.1554192229038855,0.1554192229038855,0.0
295,astronomical tool,[76],1,0.1554192229038855,0.1554192229038855,0.0
296,photographic magnitude,[77],1,0.1574642126789366,0.1574642126789366,0.0
297,visual magnitude,[77],1,0.1574642126789366,0.1574642126789366,0.0
298,karl schwarzschild,[77],1,0.1574642126789366,0.1574642126789366,0.0
299,color,[ 77 346],2,0.4325153374233129,0.4325153374233129,0.27505112474437626
300,precise measurement,[78],1,0.15950920245398773,0.15950920245398773,0.0
301,magnitude,[ 78 370 393 431],4,0.6503067484662577,0.7801635991820041,0.28684216579185545
302,multiple wavelength interval,[78],1,0.15950920245398773,0.15950920245398773,0.0
303,development,[ 78 130 142],3,0.23858214042263123,0.2658486707566462,0.056803453731423745
304,photoelectric photometer,[78],1,0.15950920245398773,0.15950920245398773,0.0
305,albert a,[79],1,0.16155419222903886,0.16155419222903886,0.0
306,mount wilson observatory,[80],1,0.16359918200409,0.16359918200409,0.0
307,hooker telescope,[80],1,0.16359918200409,0.16359918200409,0.0
308,michelson,[80],1,0.16359918200409,0.16359918200409,0.0
309,interferometer,[80],1,0.16359918200409,0.16359918200409,0.0
